String ID,Character,Act/Location,Context/Notes,Spanish (es-ES),English (en-US),Catalan (ca-CA),,Mis cambios o proposiciones
DL_DEEPROOT_SOUND_02,Deeproot,Garden of Sound,Pista sobre identificar sonidos,"Escuchad con atención. El trino de los habitantes del cielo, el murmullo del agua... Devolvedles su nombre.","Listen closely. The trill of the sky dwellers, the murmur of the water... return their names to them.","Escolteu amb atenció. El trino dels habitants del cel, el murmuri de l'aigua... Torneu-los el nom.",,
DL_DEEPROOT_SOUND_03,Deeproot,Garden of Sound Succes,Éxito en el jardín,La armonía regresa. Las vibraciones vuelven a ser canciones con significado.,Harmony returns. Vibrations become meaningful songs once again.,L'harmonia torna. Les vibracions tornen a ser cançons amb significat.,,
DL_DEEPROOT_TOUCH_01,Deeproot,Garden of Touch,Introducción al jardín del tacto,"La red siente superficies, pero ha olvidado su significado. Todo es frío y distante ahora.","The network feels surfaces, but has forgotten their meaning. Everything is cold and distant now.","La xarxa sent superfícies, però n'ha oblidat el significat. Tot és fred i distant ara.",,
DL_DEEPROOT_TOUCH_02,Deeproot,Garden of Touch,Pista sobre cortezas y texturas,"Tocad la corteza, sentid la textura de la vida. Descubrid lo que la superficie esconde.","Touch the bark, feel the texture of life. Discover what the surface hides.","Toqueu l'escorça, sentiu la textura de la vida. Descobriu el que la superfície amaga.",,
DL_DEEPROOT_TOUCH_03,Deeproot,Garden of Touch Succes,Éxito en el jardín,El calor vuelve a las raíces. Volvemos a sentir el abrazo del bosque.,Warmth returns to the roots. We feel the embrace of the forest once more.,La calor torna a les arrels. Tornem a sentir l'abraçada del bosc.,,
DL_DEEPROOT_SMELL_01,Deeproot,Garden of Smell,Introducción al jardín del olfato,"La red recuerda la fragancia, pero no su propósito. Los aromas flotan sin rumbo.","The network remembers the fragrance, but not its purpose. The aromas drift aimlessly.","La xarxa recorda la fragància, però no el propòsit. Les aromes suren sense rumb.",,
DL_DEEPROOT_SMELL_02,Deeproot,Garden of Smell,Pista sobre funciones aromáticas,"Inhalad la memoria de las flores y hierbas. Buscad su propósito: ¿sanan, alimentan, o simplemente adornan?","Inhale the memory of the flowers and herbs. Seek their purpose: do they heal, nourish, or simply adorn?","Inhaleu la memòria de les flors i herbes. Busqueu el seu propòsit: sanen, alimenten, o simplement adornen?",,
DL_DEEPROOT_SMELL_03,Deeproot,Garden of Smell Succes,Éxito en el jardín,El aroma encuentra su camino. La esencia vuelve a tener un propósito claro.,The scent finds its way. The essence has a clear purpose once again.,L'aroma troba el camí. L?essència torna a tenir un propòsit clar.,,
DL_DEEPROOT_TASTE_01,Deeproot,Garden of Taste,Introducción al jardín del gusto,"La red reconoce la dulzura, pero no su origen. Los frutos caen y nadie recuerda qué semilla los engendró.","The network recognizes the sweetness, but not its origin. The fruits fall and no one remembers which seed begot them.","La xarxa reconeix la dolçor, però no l'origen. Els fruits cauen i ningú no recorda quina llavor els va engendrar.",,
DL_DEEPROOT_TASTE_02,Deeproot,Garden of Taste,Pista sobre frutos y estaciones,Encontrad el origen de la dulzura. Unid el fruto con su rama a través de las estaciones.,Find the origin of the sweetness. Unite the fruit with its branch across the seasons.,Trobeu l'origen de la dolçor. Uniu el fruit amb la seva branca a través de les estacions.,,
DL_DEEPROOT_TASTE_03,Deeproot,Garden of Taste Succes,Éxito en el jardín,"El ciclo está completo. La semilla, el árbol y el fruto vuelven a ser uno.","The cycle is complete. The seed, the tree, and the fruit are one again.","El cicle és complet. La llavor, l'arbre i el fruit tornen a ser-ne un.",,
DL_DEEPROOT_ACT3_01,Deeproot,Act III – Reconnection,Red restaurada al inicio del acto 3,"Siento cómo la savia corre de nuevo. Los nodos brillan con fuerza, la memoria natural ha sido restaurada.","I feel the sap flowing once more. The nodes shine brightly, the natural memory has been restored.","Sento com la saba corre de nou. Els nodes brillen amb força, la memòria natural ha estat restaurada.",,
DL_DEEPROOT_ACT3_02,Deeproot,Act III – Reconnection,Despedida y conclusión,"Habéis sido más que simples extensiones, habéis sido el micelio vivo que nos une. Gracias por devolver el equilibrio al jardín.",You have been more than mere extensions; you have been the living mycelium that binds us. Thank you for restoring the balance to the garden.,"Heu estat més que simples extensions, heu estat el miceli viu que ens uneix. Gràcies per tornar l´equilibri al jardí.",,
